행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
신길1동,9,154.0,5.84,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1
청룡동,22,377.0,5.84,0,1,0,0,0,2,4,0,0,0,0,0,0,1,1,3,2,0,0,3,0,1,3,0,0,1
교남동,6,103.0,5.83,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
쌍문1동,7,121.0,5.79,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
신도림동,19,328.0,5.79,1,1,0,1,0,1,4,0,0,0,1,0,0,2,0,2,0,0,0,2,1,0,3,0,0,0
삼양동,6,104.0,5.77,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
미성동,9,156.0,5.77,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0
원효로1동,10,174.0,5.75,0,0,1,0,1,1,2,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
장안1동,18,313.0,5.75,0,2,2,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,0,1,0,1,2,0,1,0
도화동,14,244.0,5.74,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1
독산2동,6,105.0,5.71,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
정릉4동,6,106.0,5.66,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
신대방1동,7,125.0,5.6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
서원동,13,232.0,5.6,0,1,0,1,0,0,2,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0
당산1동,22,394.0,5.58,0,0,2,1,1,1,5,0,0,0,1,0,1,0,1,3,1,0,0,1,2,0,2,0,0,0
대흥동,17,305.0,5.57,0,1,0,0,0,1,3,0,0,1,1,0,0,0,1,3,0,0,1,2,0,1,2,0,0,0
금호2·3가동,9,162.0,5.56,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0
종암동,10,180.0,5.56,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
화곡6동,12,216.0,5.56,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0
암사2동,6,108.0,5.56,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0
상계10동,3,54.0,5.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
용신동,25,455.0,5.49,0,0,0,0,0,2,5,1,0,0,2,1,0,1,0,6,1,0,0,1,0,0,4,0,1,0
성수1가2동,19,348.0,5.46,0,0,0,0,0,3,3,0,0,1,2,1,0,0,0,1,2,0,0,1,4,0,1,0,0,0
중화2동,10,183.0,5.46,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0
